SalesOrderID,OrderDate,ShipDate,CustomerID,ShipToAddressID,BillToAddressID,SubTotal,TaxAmt,Freight,TotalDue
43659,5/31/2011,6/7/2011,29825,985,985,20565.6206,1971.5149,616.0984,23153.2339
43660,5/31/2011,6/7/2011,29672,921,921,1294.2529,124.2483,38.8276,1457.3288
43661,5/31/2011,6/7/2011,29734,517,517,32726.4786,3153.7696,985.553,36865.8012
43662,5/31/2011,6/7/2011,29994,482,482,28832.5289,2775.1646,867.2389,32474.9324
43663,5/31/2011,6/7/2011,29565,1073,1073,419.4589,40.2681,12.5838,472.3108
43664,5/31/2011,6/7/2011,29898,876,876,24432.6088,2344.9921,732.81,27510.4109
43665,5/31/2011,6/7/2011,29580,849,849,14352.7713,1375.9427,429.9821,16158.6961
43666,5/31/2011,6/7/2011,30052,1074,1074,5056.4896,486.3747,151.9921,5694.8564
43667,5/31/2011,6/7/2011,29974,629,629,6107.082,586.1203,183.1626,6876.3649
43668,5/31/2011,6/7/2011,29614,529,529,35944.1562,3461.7654,1081.8017,40487.7233
43669,5/31/2011,6/7/2011,29747,895,895,714.7043,70.5175,22.0367,807.2585
43670,5/31/2011,6/7/2011,29566,810,810,6122.082,587.5603,183.6126,6893.2549
43671,5/31/2011,6/7/2011,29890,855,855,8128.7876,780.8136,244.0042,9153.6054
43672,5/31/2011,6/7/2011,30067,464,464,6124.182,587.6023,183.6257,6895.41
43673,5/31/2011,6/7/2011,29844,821,821,3746.2015,357.9614,111.8629,4216.0258
43674,5/31/2011,6/7/2011,29596,458,458,2624.382,251.9407,78.7315,2955.0542
43675,5/31/2011,6/7/2011,29827,631,631,5716.3102,546.8759,170.8987,6434.0848
43676,5/31/2011,6/7/2011,29811,755,755,14203.458,1363.266,426.0206,15992.7446
43677,5/31/2011,6/7/2011,29824,556,556,7793.1108,747.1011,233.4691,8773.681
43678,5/31/2011,6/7/2011,29889,1021,1021,9799.9243,942.074,294.3981,11036.3964
43679,5/31/2011,6/7/2011,29761,525,525,1316.0575,125.8032,39.3135,1481.1742
43680,5/31/2011,6/7/2011,29489,1069,1069,11397.4992,1093.6394,341.7623,12832.9009
43681,5/31/2011,6/7/2011,29661,955,955,13787.5434,1323.0668,413.4584,15524.0686
43682,5/31/2011,6/7/2011,29759,808,808,3875.7229,371.8002,116.1876,4363.7107
43683,5/31/2011,6/7/2011,29497,889,889,42813.4333,4107.1489,1283.484,48204.0662
43684,5/31/2011,6/7/2011,29912,971,971,5596.4705,537.2612,167.8941,6301.6258
43685,5/31/2011,6/7/2011,30084,958,958,2736.5678,263.201,82.2503,3082.0191
43686,5/31/2011,6/7/2011,29606,871,871,3463.2998,332.4768,103.899,3899.6756
43687,5/31/2011,6/7/2011,29610,783,783,1258.3767,120.8042,37.7513,1416.9322
43688,5/31/2011,6/7/2011,29718,771,771,12718.0844,1222.8838,382.1512,14323.1194
43689,5/31/2011,6/7/2011,29646,578,578,33997.3702,3271.4942,1022.3419,38291.2063
43690,5/31/2011,6/7/2011,29533,801,801,1297.5901,124.2027,38.8133,1460.6061
43691,5/31/2011,6/7/2011,29570,592,592,874.794,83.9802,26.2438,985.018
43692,5/31/2011,6/7/2011,29992,1024,1024,38510.8973,3696.3979,1155.1244,43362.4196
43693,5/31/2011,6/7/2011,29491,807,807,20541.4072,1969.5564,615.4864,23126.45
43694,5/31/2011,6/7/2011,29549,943,943,20645.634,1978.3257,618.2268,23242.1865
43695,5/31/2011,6/7/2011,29958,911,911,39373.781,3787.4632,1183.5823,44344.8265
43696,5/31/2011,6/7/2011,29849,977,977,419.4589,40.2681,12.5838,472.3108
43697,5/31/2011,6/7/2011,21768,23148,23148,3578.27,286.2616,89.4568,3953.9884
43698,5/31/2011,6/7/2011,28389,24593,24593,3399.99,271.9992,84.9998,3756.989
43699,5/31/2011,6/7/2011,25863,19613,19613,3399.99,271.9992,84.9998,3756.989
43700,5/31/2011,6/7/2011,14501,20278,20278,699.0982,55.9279,17.4775,772.5036
43701,5/31/2011,6/7/2011,11003,20425,20425,3399.99,271.9992,84.9998,3756.989
43702,6/1/2011,6/8/2011,27645,22584,22584,3578.27,286.2616,89.4568,3953.9884
43703,6/1/2011,6/8/2011,16624,23967,23967,3578.27,286.2616,89.4568,3953.9884
43704,6/1/2011,6/8/2011,11005,16025,16025,3374.99,269.9992,84.3748,3729.364
43705,6/1/2011,6/8/2011,11011,27345,27345,3399.99,271.9992,84.9998,3756.989
43706,6/2/2011,6/9/2011,27621,13264,13264,3578.27,286.2616,89.4568,3953.9884
43707,6/2/2011,6/9/2011,27616,20923,20923,3578.27,286.2616,89.4568,3953.9884
43708,6/2/2011,6/9/2011,20042,18427,18427,699.0982,55.9279,17.4775,772.5036
43709,6/2/2011,6/9/2011,16351,13951,13951,3578.27,286.2616,89.4568,3953.9884
43710,6/2/2011,6/9/2011,16517,25446,25446,3578.27,286.2616,89.4568,3953.9884
43711,6/3/2011,6/10/2011,27606,18404,18404,3578.27,286.2616,89.4568,3953.9884
43712,6/3/2011,6/10/2011,13513,21867,21867,3578.27,286.2616,89.4568,3953.9884
43713,6/4/2011,6/11/2011,27601,11855,11855,3578.27,286.2616,89.4568,3953.9884
43714,6/4/2011,6/11/2011,13591,15169,15169,3578.27,286.2616,89.4568,3953.9884
43715,6/4/2011,6/11/2011,16483,28213,28213,3578.27,286.2616,89.4568,3953.9884
43716,6/4/2011,6/11/2011,16529,23557,23557,3578.27,286.2616,89.4568,3953.9884
43717,6/4/2011,6/11/2011,25249,11809,11809,699.0982,55.9279,17.4775,772.5036
43718,6/5/2011,6/12/2011,27668,25346,25346,3578.27,286.2616,89.4568,3953.9884
43719,6/5/2011,6/12/2011,27612,13854,13854,3578.27,286.2616,89.4568,3953.9884
43720,6/5/2011,6/12/2011,13264,18584,18584,3578.27,286.2616,89.4568,3953.9884
43721,6/5/2011,6/12/2011,13590,22146,22146,3578.27,286.2616,89.4568,3953.9884
43722,6/6/2011,6/13/2011,13581,23990,23990,3578.27,286.2616,89.4568,3953.9884
43723,6/6/2011,6/13/2011,14520,12708,12708,699.0982,55.9279,17.4775,772.5036
43724,6/6/2011,6/13/2011,16520,25572,25572,3578.27,286.2616,89.4568,3953.9884
43725,6/7/2011,6/14/2011,13258,23444,23444,3578.27,286.2616,89.4568,3953.9884
43726,6/7/2011,6/14/2011,14560,25989,25989,699.0982,55.9279,17.4775,772.5036
