Month,TotalDue
2011-05,567020.9498
2011-06,507096.46900000004
2011-07,2292182.8828
2011-08,2800576.1723
2011-09,554791.6082
2011-10,5156269.5291
2011-11,815313.0152
2011-12,1462448.8986
2012-01,4458337.4444
2012-02,1649051.9001
2012-03,3336347.4716
2012-04,1871923.5039
2012-05,3452924.4537
2012-06,4610647.2153
2012-07,3840231.459
2012-08,2442451.1831
2012-09,3881724.186
2012-10,2858060.197
2012-11,2097153.1292
2012-12,3176848.1687
2013-01,2340061.5521
2013-02,2600218.8667
2013-03,3831605.9389
2013-04,2840711.1734
2013-05,3658084.9461
2013-06,5726265.2635
2013-07,5521840.8445
2013-08,3733973.0032
2013-09,5083505.3374
2013-10,5374375.9418
2013-11,3694667.9998
2013-12,4560577.0958
2014-01,4798027.8709
2014-02,1478213.292
2014-03,8097036.3137
2014-04,1985886.1496
2014-05,6006183.211
2014-06,54151.4785
